38
355	-180
0	-169
10	-157
20	-144
30	-134
40	-123
50	-113
60	-107
70	-99
80	-90
90	-84
100	-77
110	-71
120	-64
130	-58
140	-53
150	-46
160	-40
170	-34
180	-27
190	-22
200	-15
210	-9
220	-2
230	5
240	11
250	20
260	28
270	37
280	49
290	64
300	80
310	100
320	117
330	139
340	158
350	177
355	180
